doc_file,heading,file,score,label
docs/api.md,API Reference,frontend/src/api/client.js,0.69,FALSE
docs/api.md,API Reference,backend/app.py,0.65,TRUE
docs/api.md,Authentication,backend/services/auth.py,0.62,FALSE
docs/api.md,Authentication,backend/app.py,0.6,FALSE
docs/api.md,Authentication,frontend/src/api/client.js,0.55,FALSE
docs/api.md,POST /api/auth/register,backend/app.py,0.75,TRUE
docs/api.md,POST /api/auth/register,frontend/src/api/client.js,0.67,FALSE
docs/api.md,POST /api/auth/register,backend/services/auth.py,0.58,TRUE
docs/api.md,POST /api/auth/register,backend/cli.py,0.53,FALSE
docs/api.md,POST /api/auth/login,backend/app.py,0.66,TRUE
docs/api.md,POST /api/auth/login,frontend/src/api/client.js,0.63,FALSE
docs/api.md,POST /api/auth/login,backend/services/auth.py,0.59,TRUE
docs/api.md,POST /api/auth/login,backend/cli.py,0.51,FALSE
docs/api.md,Tasks,backend/services/tasks.py,0.68,FALSE
docs/api.md,Tasks,frontend/src/api/client.js,0.66,FALSE
docs/api.md,Tasks,backend/models/task.py,0.59,FALSE
docs/api.md,Tasks,frontend/src/hooks/useTasks.js,0.56,FALSE
docs/api.md,Tasks,backend/app.py,0.54,FALSE
docs/api.md,POST /api/tasks,backend/services/tasks.py,0.75,TRUE
docs/api.md,POST /api/tasks,frontend/src/api/client.js,0.69,FALSE
docs/api.md,POST /api/tasks,backend/app.py,0.63,TRUE
docs/api.md,POST /api/tasks,backend/models/task.py,0.55,TRUE
docs/api.md,GET /api/tasks,frontend/src/api/client.js,0.66,FALSE
docs/api.md,GET /api/tasks,backend/services/tasks.py,0.63,TRUE
docs/api.md,GET /api/tasks,backend/app.py,0.58,TRUE
docs/api.md,GET /api/tasks,backend/models/task.py,0.53,FALSE
docs/api.md,GET /api/tasks/stats,frontend/src/api/client.js,0.73,FALSE
docs/api.md,GET /api/tasks/stats,backend/services/tasks.py,0.66,TRUE
docs/api.md,GET /api/tasks/stats,backend/app.py,0.63,TRUE
docs/api.md,GET /api/tasks/stats,backend/cli.py,0.55,FALSE
